Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Cantua quercifolia MO6030150,Cantua quercifolia,2,2.81,0.346,,,,,
Cantua quercifolia MO6030150,Cantua quercifolia,3,,,,,,,
,Cantua quercifolia,,,,3.29525,0.399898826490618,0.493181818181818,0.0775974460685637,6.68161290322581
Cantua volcanica MO5256597,Cantua volcanica,1,2.128,0.433,,,,,
Cantua volcanica MO5256597,Cantua volcanica,2,2.401,0.437,,,,,
Cantua volcanica MO5256597,Cantua volcanica,3,2.5,0.325,,,,,
,Cantua volcanica,,,,2.343,0.192662918071953,0.398333333333333,0.0635400136397004,5.88200836820084
Cobaea aequatoriensis RSABG717593,Cobaea aequatoriensis,1,2.209,1.99,2.209,,1.99,,1.11005025125628
Cobaea aschersoniana MO3602165,Cobaea aschersoniana,1,5.936,1.356,5.936,,1.356,,4.37758112094395
Cobaea biaurita MO3153366,Cobaea biaurita,1,6.617,8.496,,,,,
Cobaea biaurita MO3153366,Cobaea biaurita,2,6.92,7.62,,,,,
Cobaea biaurita MO3281095,Cobaea biaurita,1,6.098,3.502,,,,,
Cobaea biaurita MO3281095,Cobaea biaurita,2,5.691,3.516,,,,,
Cobaea biaurita MO3281095,Cobaea biaurita,3,5.791,3.332,,,,,
Cobaea biaurita MO3602168,Cobaea biaurita,1,6.586,4.074,,,,,
Cobaea biaurita MO3761514,Cobaea biaurita,1,5.728,3.35,,,,,
Cobaea biaurita MO3861020,Cobaea biaurita,1,5.713,3.459,,,,,
,Cobaea biaurita,,,,6.11188888888889,0.471924370117831,4.51877777777778,2.03124910940151,1.35255354200988
Cobaea campanulata RSABG697003,Cobaea campanulata,1,3.677,1.625,,,,,
,Cobaea campanulata,,,,3.677,,1.625,,2.26276923076923
Cobaea gracilis MO1111444,Cobaea gracilis,1,2.685,1.136,,,,,
Cobaea gracilis MO1111444,Cobaea gracilis,2,2.334,1.134,,,,,
Cobaea gracilis MO1111444,Cobaea gracilis,3,2.892,0.812,,,,,
Cobaea gracilis MO1146113,Cobaea gracilis,1,5.447,0.809,,,,,
Cobaea gracilis MO1146113,Cobaea gracilis,2,4.329,0.813,,,,,
Cobaea gracilis MO2988813,Cobaea gracilis,1,3.395,0.907,,,,,
Cobaea gracilis MO6207054,Cobaea gracilis,1,4.775,1.019,,,,,
,Cobaea gracilis,,,,3.69385714285714,1.17225429956863,0.947142857142857,0.148716092573992,3.9
Cobaea lutea MO5871652,Cobaea lutea,1,5.211,2.459,,,,,
Cobaea lutea MO5897721,Cobaea lutea,1,6.199,2.988,,,,,
Cobaea lutea MO5897921,Cobaea lutea,1,5.015,2.712,,,,,
Cobaea lutea MO5897922,Cobaea lutea,1,5.54,2.256,,,,,
Cobaea lutea MO6058036,Cobaea lutea,1,5.559,2.75,,,,,
Cobaea lutea NYBG,Cobaea lutea,1,2.522,1.465,,,,,
Cobaea lutea NYBG,Cobaea lutea,2,2.939,,,,,,
Cobaea lutea NYBG 2,Cobaea lutea,1,2.945,1.653,,,,,
Cobaea lutea NYBG 3,Cobaea lutea,1,4.914,2.748,,,,,
Cobaea lutea NYBG 5,Cobaea lutea,1,4.769,1.519,,,,,
Cobaea lutea NYBG 6,Cobaea lutea,1,5.549,2.545,,,,,
Cobaea lutea NYBG 7,Cobaea lutea,1,5.465,2.281,,,,,
,Cobaea lutea,,,,4.71891666666667,1.21834264909592,2.30690909090909,0.534711596011431,2.04555813892392
Cobaea minor MO1688701,Cobaea minor,1,,,,,,,
Cobaea minor MO3861025,Cobaea minor,1,4.117,1.976,,,,,
Cobaea minor MO3861029,Cobaea minor,1,4.102,1.922,,,,,
Cobaea minor MO3861033,Cobaea minor,1,4.828,2.232,,,,,
,Cobaea minor,,,,4.349,0.414893962356648,2.04333333333333,0.165605958024865,2.12838499184339
Cobaea pachysepala MO1278345,Cobaea pachysepala,1,4.605,3.228,,,,,
Cobaea pachysepala MO3281097,Cobaea pachysepala,1,5.119,3.057,,,,,
Cobaea pachysepala MO3281097,Cobaea pachysepala,2,4.186,3.216,,,,,
Cobaea pachysepala MO3602161,Cobaea pachysepala,1,6.064,3.529,,,,,
Cobaea pachysepala MO3602164,Cobaea pachysepala,1,5.645,3,,,,,
Cobaea pachysepala MO5706100,Cobaea pachysepala,1,5.597,2.688,,,,,
,Cobaea pachysepala,,,,5.20266666666667,0.705814328748484,3.11966666666667,0.280411602232623,1.6676995405492
Cobaea paneroi MO3641407,Cobaea paneroi,1,5.423,3.315,5.423,,3.315,,1.63589743589744
Cobaea penduliflora MO113696,Cobaea penduliflora,1,4.948,0.605,,,,,
Cobaea penduliflora MO2724237,Cobaea penduliflora,1,5.574,0.606,,,,,
,Cobaea penduliflora,,,,5.261,0.442648845022778,0.6055,0.000707106781186548,8.68868703550785
Cobaea pringlei KANU00218685,Cobaea pringlei,1,5.903,3.688,5.903,,3.688,,1.60059652928416
Cobaea rotundiflora MO3750483,Cobaea rotundiflora,1,5.715,2.403,,,,,
Cobaea rotundiflora MO3750483,Cobaea rotundiflora,2,5.602,2.24,,,,,
,Cobaea rotundiflora,,,,5.6585,0.0799030662740795,2.3215,0.115258405333407,2.43743269437863
Cobaea scandens FLAS135739,Cobaea scandens,1,2.845,,,,,,
Cobaea scandens FLAS135739,Cobaea scandens,2,2.467,,,,,,
Cobaea scandens FLAS221362,Cobaea scandens,1,5.795,3.064,,,,,
Cobaea scandens FLAS87478,Cobaea scandens,1,4.52,3.51,,,,,
Cobaea scandens FLAS87478,Cobaea scandens,2,4.571,4.459,,,,,
Cobaea scandens FLAS87478,Cobaea scandens,3,3.686,3.091,,,,,
,Cobaea scandens,,,,3.98066666666667,1.23279627946659,3.531,0.651489063607367,1.12734824884358
Cobaea stipularis MO3602162,Cobaea stipularis,1,5.58,3.464,,,,,
Cobaea stipularis MO5706106,Cobaea stipularis,1,5.204,2.853,,,,,
,Cobaea stipularis,,,,5.392,0.265872149726142,3.1585,0.43204224330498,1.70713946493589
Cobaea trianae MO3612189,Cobaea trianae,1,6.2,3.226,,,,,
Cobaea trianae MO3857537,Cobaea trianae,1,6.239,3.772,,,,,
Cobaea trianae MO6318229,Cobaea trianae,1,6.03,3.691,,,,,
Cobaea trianae MO6318229,Cobaea trianae,2,5.784,3.288,,,,,
Cobaea triflora MO04586202,Cobaea triflora,1,3.98,2.977,,,,,
,Cobaea triflora,,,,6.06325,0.207102832750625,3.49425,0.277099711295411,1.73520784145382
Collomia biflora MO1241840,Collomia biflora,1,0.961,0.193,,,,,
Collomia biflora MO1241840,Collomia biflora,2,0.867,0.202,,,,,
Collomia biflora MO1241840,Collomia biflora,3,0.862,0.253,,,,,
Collomia biflora MO2387056,Collomia biflora,1,0.96,0.258,,,,,
Collomia biflora MO2387056,Collomia biflora,2,0.867,0.158,,,,,
Collomia biflora MO2387056,Collomia biflora,3,0.971,0.274,,,,,
Collomia biflora MO4005361,Collomia biflora,1,1.106,0.293,,,,,
Collomia biflora MO4005361,Collomia biflora,2,0.967,0.22,,,,,
Collomia biflora MO4005361,Collomia biflora,3,1.104,0.203,,,,,
,Collomia biflora,,,,0.962777777777778,0.0929082582144583,0.228222222222222,0.0438114647603166,4.21859785783836
Collomia debilis KANU0021885,Collomia debilis,1,0.785,0.257,,,,,
Collomia debilis KANU0021885,Collomia debilis,2,0.565,0.206,,,,,
Collomia debilis KANU00218886,Collomia debilis,1,0.869,0.398,,,,,
Collomia debilis KANU00218886,Collomia debilis,2,0.805,0.336,,,,,
Collomia debilis KANU00218887,Collomia debilis,1,0.997,0.471,,,,,
Collomia debilis KANU00218887,Collomia debilis,2,0.969,0.383,,,,,
Collomia debilis KANU00218887,Collomia debilis,3,0.943,0.193,,,,,
Collomia debilis KSC0126238,Collomia debilis,1,0.874,0.239,,,,,
Collomia debilis KSC0126238,Collomia debilis,2,0.799,0.283,,,,,
Collomia debilis KSC0126238,Collomia debilis,3,0.77,0.266,,,,,
,Collomia debilis,,,,0.8376,0.124852980207388,0.3032,0.0908158087070259,2.76253298153034
Collomia diversifolia KANU00218888,Collomia diversifolia,1,0.739,0.162,,,,,
Collomia diversifolia KANU00218888,Collomia diversifolia,2,0.573,0.145,,,,,
Collomia diversifolia KANU00218888,Collomia diversifolia,3,0.542,0.092,,,,,
,Collomia diversifolia,,,,0.618,0.105929221652951,0.133,0.0365102725270573,4.64661654135338
Collomia grandiflora FLAS124816,Collomia grandiflora,1,1.052,0.199,,,,,
Collomia grandiflora FLAS53043,Collomia grandiflora,1,2.104,0.306,,,,,
Collomia grandiflora FLAS53043,Collomia grandiflora,2,1.571,0.138,,,,,
Collomia grandiflora FLAS53043,Collomia grandiflora,3,1.864,0.159,,,,,
Collomia grandiflora FLAS53064,Collomia grandiflora,1,1.441,0.258,,,,,
Collomia grandiflora FLAS53064,Collomia grandiflora,2,1.393,0.315,,,,,
Collomia grandiflora FLAS53064,Collomia grandiflora,3,1.04,0.251,,,,,
Collomia grandiflora FLAS55664,Collomia grandiflora,1,1.523,0.276,,,,,
Collomia grandiflora FLAS55664,Collomia grandiflora,2,1.192,0.3,,,,,
Collomia grandiflora FLAS55664,Collomia grandiflora,3,1.482,0.239,,,,,
Collomia grandiflora KANU00218896,Collomia grandiflora,1,1.306,0.357,,,,,
Collomia grandiflora KANU00218896,Collomia grandiflora,2,1.212,0.516,,,,,
Collomia grandiflora KANU00218896,Collomia grandiflora,3,1.247,0.333,,,,,
Collomia grandiflora KANU363773,Collomia grandiflora,1,1.173,0.334,,,,,
Collomia grandiflora KANU363773,Collomia grandiflora,2,1.004,0.364,,,,,
Collomia grandiflora KANU363773,Collomia grandiflora,3,1.164,0.306,,,,,
Collomia grandiflora KSC0126124,Collomia grandiflora,1,2.026,0.38,,,,,
Collomia grandiflora KSC0126124,Collomia grandiflora,2,2.137,0.388,,,,,
Collomia grandiflora KSC0126124,Collomia grandiflora,3,1.842,0.369,,,,,
Collomia grandiflora KSC0126125,Collomia grandiflora,1,1.632,0.318,,,,,
Collomia grandiflora KSC0126125,Collomia grandiflora,2,1.878,0.213,,,,,
Collomia grandiflora KSC0126125,Collomia grandiflora,3,1.6,0.372,,,,,
Collomia grandiflora KSC0126126,Collomia grandiflora,1,2.018,0.268,,,,,
Collomia grandiflora KSC0126126,Collomia grandiflora,2,1.399,0.164,,,,,
Collomia grandiflora KSC0126126,Collomia grandiflora,3,1.579,0.212,,,,,
,Collomia grandiflora,,,,1.51516,0.349074452421447,0.2934,0.0864792846100538,5.16414451261077
Collomia heterophylla FLAS118998,Collomia heterophylla,1,0.971,0.112,,,,,
Collomia heterophylla FLAS118998,Collomia heterophylla,2,0.881,0.104,,,,,
Collomia heterophylla FLAS118998,Collomia heterophylla,3,0.897,0.088,,,,,
Collomia heterophylla FLAS53044,Collomia heterophylla,1,0.561,0.064,,,,,
Collomia heterophylla FLAS53044,Collomia heterophylla,2,0.455,0.061,,,,,
Collomia heterophylla FLAS53044,Collomia heterophylla,3,0.569,0.056,,,,,
Collomia heterophylla FLAS53179,Collomia heterophylla,1,0.632,0.124,,,,,
Collomia heterophylla FLAS53179,Collomia heterophylla,2,0.655,0.103,,,,,
Collomia heterophylla FLAS53179,Collomia heterophylla,3,0.647,0.09,,,,,
Collomia heterophylla FLAS53301,Collomia heterophylla,1,0.772,0.077,,,,,
Collomia heterophylla FLAS53301,Collomia heterophylla,2,0.694,0.116,,,,,
Collomia heterophylla FLAS55665,Collomia heterophylla,1,0.794,0.122,,,,,
Collomia heterophylla FLAS55665,Collomia heterophylla,2,0.779,0.121,,,,,
Collomia heterophylla FLAS55665,Collomia heterophylla,3,0.883,0.118,,,,,
Collomia heterophylla FLAS5666,Collomia heterophylla,1,0.812,0.119,,,,,
Collomia heterophylla FLAS5666,Collomia heterophylla,2,0.88,0.09,,,,,
Collomia heterophylla FLAS5666,Collomia heterophylla,3,0.798,0.091,,,,,
Collomia heterophylla FLAS72212,Collomia heterophylla,1,1.193,0.113,,,,,
Collomia heterophylla FLAS72212,Collomia heterophylla,2,1.221,0.205,,,,,
Collomia heterophylla FLAS72212,Collomia heterophylla,3,1.06,0.099,,,,,
Collomia heterophylla KANU00218899,Collomia heterophylla,1,1.023,0.193,,,,,
Collomia heterophylla KANU00218899,Collomia heterophylla,2,1.033,0.172,,,,,
Collomia heterophylla KANU00218899,Collomia heterophylla,3,1.135,0.171,,,,,
Collomia heterophylla KANU00218902,Collomia heterophylla,1,1.195,0.184,,,,,
Collomia heterophylla KANU00218902,Collomia heterophylla,2,0.972,0.187,,,,,
Collomia heterophylla KANU00218902,Collomia heterophylla,3,1.291,0.154,,,,,
Collomia heterophylla KANU00218904,Collomia heterophylla,1,1.265,0.211,,,,,
Collomia heterophylla KANU00218904,Collomia heterophylla,2,0.895,0.145,,,,,
Collomia heterophylla KANU00218904,Collomia heterophylla,3,0.806,0.099,,,,,
Collomia heterophylla KSC0126123,Collomia heterophylla,1,0.765,0.143,,,,,
Collomia heterophylla KSC0126123,Collomia heterophylla,2,0.801,0.148,,,,,
Collomia heterophylla KSC0126123,Collomia heterophylla,3,0.824,0.118,,,,,
Collomia heterophylla KSC0126127,Collomia heterophylla,1,0.823,0.15,,,,,
Collomia heterophylla KSC0126127,Collomia heterophylla,2,0.731,0.126,,,,,
Collomia heterophylla KSC0126127,Collomia heterophylla,3,0.768,0.134,,,,,
Collomia heterophylla KSC0126128,Collomia heterophylla,1,0.927,0.145,,,,,
Collomia heterophylla KSC0126128,Collomia heterophylla,2,0.941,0.129,,,,,
Collomia heterophylla KSC0126128,Collomia heterophylla,3,0.936,0.147,,,,,
,Collomia heterophylla,,,,0.875921052631579,0.200297667887131,0.127078947368421,0.0390061544547588,6.89273141437151
Collomia linearis FLAS122937,Collomia linearis,1,0.564,0.141,,,,,
Collomia linearis FLAS122937,Collomia linearis,2,0.459,0.09,,,,,
Collomia linearis FLAS122937,Collomia linearis,3,0.441,0.139,,,,,
Collomia linearis FLAS147432,Collomia linearis,1,0.357,0.052,,,,,
Collomia linearis FLAS147432,Collomia linearis,2,0.497,0.113,,,,,
Collomia linearis FLAS147432,Collomia linearis,3,0.281,0.042,,,,,
Collomia linearis FLAS190754,Collomia linearis,1,0.645,0.147,,,,,
Collomia linearis FLAS190754,Collomia linearis,2,0.579,0.097,,,,,
Collomia linearis FLAS190754,Collomia linearis,3,0.594,0.09,,,,,
Collomia linearis FLAS20300,Collomia linearis,1,0.801,0.133,,,,,
Collomia linearis FLAS20300,Collomia linearis,2,0.654,0.147,,,,,
Collomia linearis FLAS20300,Collomia linearis,3,0.679,0.127,,,,,
Collomia linearis FLAS40535,Collomia linearis,1,0.662,0.12,,,,,
Collomia linearis FLAS40535,Collomia linearis,2,0.806,0.092,,,,,
Collomia linearis FLAS40535,Collomia linearis,3,0.599,0.086,,,,,
Collomia linearis FLAS44045,Collomia linearis,1,0.565,0.101,,,,,
Collomia linearis FLAS44045,Collomia linearis,2,0.576,0.085,,,,,
Collomia linearis FLAS44045,Collomia linearis,3,0.466,0.094,,,,,
Collomia linearis FLAS57177,Collomia linearis,1,0.585,0.117,,,,,
Collomia linearis FLAS57177,Collomia linearis,2,0.492,0.069,,,,,
Collomia linearis FLAS57177,Collomia linearis,3,0.465,0.097,,,,,
Collomia linearis KANU00218981,Collomia linearis,1,0.559,0.085,,,,,
Collomia linearis KANU00218981,Collomia linearis,2,0.467,0.109,,,,,
Collomia linearis KANU00218981,Collomia linearis,3,0.5,0.112,,,,,
Collomia linearis KANU00218987,Collomia linearis,1,0.42,0.095,,,,,
Collomia linearis KANU00218987,Collomia linearis,2,0.441,0.095,,,,,
Collomia linearis KANU00218987,Collomia linearis,3,0.492,0.15,,,,,
Collomia linearis KANU00326484,Collomia linearis,1,0.484,0.094,,,,,
Collomia linearis KANU00326484,Collomia linearis,2,0.434,0.095,,,,,
Collomia linearis KANU00326484,Collomia linearis,3,0.453,0.108,,,,,
Collomia linearis KSC0126151,Collomia linearis,1,0.54,0.115,,,,,
Collomia linearis KSC0126151,Collomia linearis,2,0.544,0.119,,,,,
Collomia linearis KSC0126151,Collomia linearis,3,0.582,0.119,,,,,
Collomia linearis KSC0126154,Collomia linearis,1,0.764,0.112,,,,,
Collomia linearis KSC0126154,Collomia linearis,2,0.692,0.119,,,,,
Collomia linearis KSC0126154,Collomia linearis,3,0.533,0.119,,,,,
Collomia linearis KSC0126156,Collomia linearis,1,0.682,0.176,,,,,
Collomia linearis KSC0126156,Collomia linearis,2,0.581,0.098,,,,,
Collomia linearis KSC0126156,Collomia linearis,3,0.629,0.181,,,,,
,Collomia linearis,,,,0.552923076923077,0.114228161477342,0.10974358974359,0.0286730369848142,5.03831775700935
Collomia mazama MO1285240,Collomia mazama,1,1.409,0.406,,,,,
Collomia mazama MO1285240,Collomia mazama,2,1.467,0.288,,,,,
Collomia mazama MO1285240,Collomia mazama,3,1.239,0.364,,,,,
Collomia mazama MO5416813,Collomia mazama,1,1.093,0.313,,,,,
Collomia mazama MO5416813,Collomia mazama,2,1.365,0.306,,,,,
Collomia mazama MO5416813,Collomia mazama,3,1.277,0.326,,,,,
,Collomia mazama,,,,1.30833333333333,0.134667986792209,0.333833333333333,0.0435633638125745,3.91912131802297
Collomia rawsoniana MO119646,Collomia rawsoniana,1,3.159,0.617,,,,,
Collomia rawsoniana MO119646,Collomia rawsoniana,2,3.116,0.452,,,,,
Collomia rawsoniana MO119646,Collomia rawsoniana,3,3.105,0.516,,,,,
Collomia rawsoniana MO2754561,Collomia rawsoniana,1,2.433,0.462,,,,,
Collomia rawsoniana MO2754561,Collomia rawsoniana,2,2.627,0.528,,,,,
Collomia rawsoniana MO2754561,Collomia rawsoniana,3,2.774,0.461,,,,,
Collomia rawsoniana MO933189,Collomia rawsoniana,1,2.164,0.434,,,,,
Collomia rawsoniana MO933189,Collomia rawsoniana,2,2.325,0.46,,,,,
Collomia rawsoniana MO933189,Collomia rawsoniana,3,2.335,0.452,,,,,
,Collomia rawsoniana,,,,2.67088888888889,0.384606111640348,0.486888888888889,0.0577828790483049,5.48562300319489
Collomia tenella FLAS61179,Collomia tenella,1,0.517,0.032,,,,,
Collomia tenella FLAS61179,Collomia tenella,2,0.473,0.058,,,,,
Collomia tenella FLAS61179,Collomia tenella,3,0.461,0.074,,,,,
Collomia tenella MO1008736,Collomia tenella,1,0.414,0.096,,,,,
Collomia tenella MO1008736,Collomia tenella,2,0.425,0.085,,,,,
Collomia tenella MO1008736,Collomia tenella,3,0.354,0.08,,,,,
Collomia tenella MO1046558,Collomia tenella,1,0.446,0.074,,,,,
Collomia tenella MO1046558,Collomia tenella,2,0.366,0.049,,,,,
Collomia tenella MO1046558,Collomia tenella,3,0.367,0.084,,,,,
Collomia tenella MO1081740,Collomia tenella,1,0.393,0.065,,,,,
Collomia tenella MO1081740,Collomia tenella,2,0.358,0.065,,,,,
Collomia tenella MO1081740,Collomia tenella,3,0.361,0.061,,,,,
,Collomia tenella,,,,0.41125,0.0538113286484277,0.0685833333333333,0.0174900404559714,5.99635479951397
Collomia tinctoria KANU00219029,Collomia tinctoria,1,0.743,0.074,,,,,
Collomia tinctoria KANU00219029,Collomia tinctoria,2,0.64,0.083,,,,,
Collomia tinctoria KANU00219029,Collomia tinctoria,3,0.722,0.071,,,,,
Collomia tinctoria KANU360011,Collomia tinctoria,1,0.434,0.09,,,,,
Collomia tinctoria KANU360011,Collomia tinctoria,2,0.285,0.087,,,,,
Collomia tinctoria KANU360011,Collomia tinctoria,3,0.434,0.087,,,,,
Collomia tinctoria KANU367450,Collomia tinctoria,1,0.705,0.081,,,,,
Collomia tinctoria KANU367450,Collomia tinctoria,2,0.653,0.084,,,,,
Collomia tinctoria KANU367450,Collomia tinctoria,3,0.615,0.061,,,,,
,Collomia tinctoria,,,,0.581222222222222,0.158963657621622,0.0797777777777778,0.00936453119192036,7.28551532033427
Collomia tracyi MO1704173,Collomia tracyi,1,1.171,0.108,,,,,
Collomia tracyi MO1704173,Collomia tracyi,2,1.256,0.086,,,,,
Collomia tracyi MO2753241,Collomia tracyi,1,0.592,0.055,,,,,
Collomia tracyi MO2753241,Collomia tracyi,2,0.69,0.054,,,,,
Collomia tracyi MO2753241,Collomia tracyi,3,0.667,0.022,,,,,
Collomia tracyi MO3248515,Collomia tracyi,1,1.409,0.078,,,,,
Collomia tracyi MO3248515,Collomia tracyi,2,1.211,0.151,,,,,
Collomia tracyi MO3248515,Collomia tracyi,3,1.084,0.058,,,,,
,Collomia tracyi,,,,1.01,0.313115222972539,0.0765,0.0394896008010789,13.202614379085
Dayia glutinosa 04894345,Dayia glutinosa,1,0.501,0.081,,,,,
Dayia glutinosa 04894345,Dayia glutinosa,2,0.653,0.099,,,,,
Dayia glutinosa 04894345,Dayia glutinosa,3,0.553,0.121,,,,,
Dayia glutinosa MO3024283,Dayia glutinosa,1,0.675,0.092,,,,,
Dayia glutinosa MO3024283,Dayia glutinosa,2,0.601,0.086,,,,,
Dayia glutinosa MO3024283,Dayia glutinosa,3,0.613,0.115,,,,,
Dayia glutinosa MO4029807,Dayia glutinosa,1,0.613,0.115,,,,,
Dayia glutinosa MO4029807,Dayia glutinosa,2,0.658,0.081,,,,,
Dayia glutinosa MO4029807,Dayia glutinosa,3,0.604,0.068,,,,,
Dayia glutinosa MO928598,Dayia glutinosa,1,0.646,0.086,,,,,
Dayia glutinosa MO928598,Dayia glutinosa,2,0.703,0.091,,,,,
Dayia glutinosa MO928598,Dayia glutinosa,3,0.588,0.149,,,,,
,Dayia glutinosa,,,,0.617333333333333,0.0551252018480466,0.0986666666666667,0.0224715308105545,6.25675675675676
Dayia grantii RSABG672123,Dayia grantii,1,1.403,0.279,,,,,
Dayia grantii RSABG672123,Dayia grantii,2,1.347,0.523,,,,,
,Dayia grantii,,,,1.375,0.0395979797464467,0.401,0.172534054609518,3.428927680798
Dayia havardii MO2273178,Dayia havardii,1,1.232,0.224,,,,,
Dayia havardii MO2273178,Dayia havardii,2,1.227,0.174,,,,,
Dayia havardii MO2273178,Dayia havardii,3,1.114,0.161,,,,,
Dayia havardii MO2391796,Dayia havardii,1,0.855,0.179,,,,,
Dayia havardii MO2391796,Dayia havardii,2,0.904,0.217,,,,,
Dayia havardii MO860303,Dayia havardii,1,0.992,0.114,,,,,
Dayia havardii MO860303,Dayia havardii,2,0.986,0.24,,,,,
Dayia havardii MO860303,Dayia havardii,3,0.799,0.242,,,,,
,Dayia havardii,,,,1.013625,0.163779413934021,0.193875,0.0446620244567062,5.22823984526112
Dayia scabra RSABG659006,Dayia scabra,1,1.558,0.428,,,,,
Dayia scabra RSABG659006,Dayia scabra,2,1.83,0.607,,,,,
Dayia scabra RSABG659006,Dayia scabra,3,1.492,0.528,,,,,
Dayia scabra RSABG703018,Dayia scabra,1,2.157,0.608,,,,,
Dayia scabra RSABG703018,Dayia scabra,2,2.233,0.481,,,,,
Dayia scabra RSABG703018,Dayia scabra,3,2.136,0.599,,,,,
,Dayia scabra,,,,1.901,0.322786616822942,0.541833333333333,0.0758193027313411,3.50845893571209
Dayia sonorae MO5693288,Dayia sonorae,1,0.449,0.082,,,,,
Dayia sonorae MO5693288,Dayia sonorae,2,0.476,0.062,,,,,
Dayia sonorae MO5693288,Dayia sonorae,3,0.449,0.09,,,,,
Dayia sonorae MO5873410,Dayia sonorae,1,0.546,0.167,,,,,
Dayia sonorae MO5873410,Dayia sonorae,2,0.559,0.154,,,,,
Dayia sonorae MO5873410,Dayia sonorae,3,0.489,0.213,,,,,
Dayia sonorae MO894483,Dayia sonorae,1,0.308,0.071,,,,,
Dayia sonorae MO894483,Dayia sonorae,2,0.344,0.064,,,,,
Dayia sonorae MO894483,Dayia sonorae,3,0.367,0.071,,,,,
,Dayia sonorae,,,,0.443,0.087424252927892,0.108222222222222,0.055239880923518,4.09342915811088
Eriastrum abramsii MO1231957,Eriastrum abramsii,1,0.397,0.126,,,,,
Eriastrum abramsii MO1242971,Eriastrum abramsii,1,0.474,0.132,,,,,
Eriastrum abramsii MO1242971,Eriastrum abramsii,2,0.539,0.109,,,,,
